dts,NSW_mean,NSW_sum,NSW_cb0,NSW_cb-2,VIC_mean,VIC_sum,VIC_cb0,VIC_cb-2,QLD_mean,QLD_sum,QLD_cb0,QLD_cb-2,SA_mean,SA_sum,SA_cb0,SA_cb-2,WA_mean,WA_sum,WA_cb0,WA_cb-2,TAS_mean,TAS_sum,TAS_cb0,TAS_cb-2,NT_mean,NT_sum,NT_cb0,NT_cb-2,ACT_mean,ACT_sum,ACT_cb0,ACT_cb-2
2002-01-01,0.0020901681035578957,17.457084000915543,13120.0,0.0,0.0034032417982843006,22.723445487144275,2583.0,0.0,0.014633705626985766,97.81168841077286,2280.0,0.0,0.0026001135122360607,13.32558175020981,1360.0,0.0,0.00016837541403251223,0.02929732204165713,10218.0,0.0,0.005579331453582841,9.30632486457618,155.0,0.0,,0.0,0.0,0.0,,0.0,91.0,0.0
2002-01-02,0.0005104902159657822,1.4002746623941404,18729.0,0.0,0.004599913100245792,40.18944075684749,523.0,0.0,0.0066647507575275594,20.860669871061262,5834.0,0.0,0.002267352702837157,14.345540550850691,158.0,0.0,0.001583513163472888,2.5890440222781717,8757.0,0.0,0.005783290333582536,10.207507438773176,58.0,0.0,,0.0,0.0,0.0,0.00011825741969939727,0.0004730296787975891,87.0,0.0
2002-01-03,0.0007424537543721264,3.453894865339132,16820.0,0.0,0.0024986058689248987,22.145143816281376,397.0,0.0,0.001067294622129007,1.6735179674982832,7396.0,0.0,0.000595567098232688,1.8361333638513773,3402.0,0.0,0.0007615741002040592,0.7257801174944685,9439.0,0.0,0.004958830564632776,9.039948119325551,0.0,0.0,,0.0,0.0,0.0,0.0011643650975305818,0.08732738231479363,16.0,0.0
2002-01-04,9.743375449633679e-05,0.02124055848020142,21254.0,0.0,0.0005174813380954736,1.4059967956054018,6543.0,0.0,0.004353575396055299,11.332356755931944,6361.0,0.0,0.00030734026272445343,0.16719310292210268,5941.0,0.0,0.00012911480066435434,0.028534370946822308,10171.0,0.0,0.0010475220658087033,1.714793621728847,186.0,0.0,,0.0,0.0,0.0,,0.0,91.0,0.0
2002-01-05,0.00020091324659810494,0.1830319676508736,20561.0,0.0,0.00036331979844924153,0.3789425497825589,8217.0,0.0,0.024648096216854917,133.24760814831768,3558.0,0.0,9.155413138017853e-05,0.002563515678644999,6457.0,0.0,0.00041180043903489577,0.7157091630426489,8654.0,0.0,0.000724390168596882,1.0829633020523386,328.0,0.0,,0.0,0.0,0.0,,0.0,91.0,0.0
2002-01-06,0.002143237098715218,10.452567330434118,16595.0,0.0,0.00025607413110274174,0.19717708094911116,8490.0,0.0,0.004864394643220305,31.565056839856563,2475.0,0.0,0.0003147096840067938,0.5497978179598687,4738.0,0.0,0.00040084787086886863,1.1063401235980774,7632.0,0.0,0.0003658831973724853,0.15074387731746394,1411.0,0.0,,0.0,0.0,0.0,0.00030056724526748537,0.01292439154650187,48.0,0.0
2002-01-07,0.008656168296569703,136.10959029526202,5748.0,0.0,0.0008384200850904739,6.6126192111085675,1373.0,0.0,0.01117425478345987,63.022796978713664,3324.0,0.0,0.0017275986671591106,9.921599145494772,742.0,0.0,0.00014854190703518763,0.05094987411306936,10049.0,0.0,0.013916135896698345,25.369115739681085,0.0,0.0,,0.0,0.0,0.0,0.006971528509637916,0.6344090943770504,0.0,0.0
2002-01-08,0.005512443843971014,49.73878080415046,12449.0,0.0,0.0019684538078183983,8.263569085221636,5062.0,0.0,0.003268303593536927,16.05717555504692,4051.0,0.0,0.00038098229436339844,0.7307240405889982,4567.0,0.0,9.155413138017852e-05,0.003021286335545891,10359.0,0.0,0.008353409008021047,15.203204394598306,3.0,0.0,,0.0,0.0,0.0,,0.0,91.0,0.0
2002-01-09,0.0006843582947954657,0.7089951934081025,20436.0,0.0,0.0007185294738892567,1.6016021972991532,7031.0,0.0,0.00516318462739536,17.22438391699092,5628.0,0.0,0.00012244586550573538,0.02999923704890517,6240.0,0.0,0.00021108852431033748,0.19926756694895859,9448.0,0.0,0.0012986617864543348,1.481773098344396,682.0,0.0,,0.0,0.0,0.0,,0.0,91.0,0.0
2002-01-10,0.00042441288936229604,0.36032654306858936,20623.0,0.0,0.000422606582559849,0.14157320515754943,8925.0,0.0,0.0025754409846141173,5.269352254520484,6918.0,0.0,,0.0,6485.0,0.0,0.000987544907669633,5.5865415426871134,4735.0,0.0,0.000488869493915267,0.14128328374151217,1534.0,0.0,,0.0,0.0,0.0,,0.0,91.0,0.0
2002-01-11,0.00015601921265161512,0.041657129777981236,21205.0,0.0,9.155413138017853e-05,9.155413138017853e-05,9259.0,0.0,0.003486253934573903,4.24277103837644,7747.0,0.0,0.0001522548558483555,0.01385519188220035,6394.0,0.0,0.00034168306019601475,0.6307469291218433,8546.0,0.0,0.00023564565460721054,0.0558480201419089,1586.0,0.0,,0.0,0.0,0.0,,0.0,91.0,0.0
2002-01-12,0.001327687114707319,1.06480506599527,20670.0,0.0,0.0001363152314638296,0.10646219577325092,8479.0,0.0,0.0015642466620470628,2.8484931715877013,7143.0,0.0,,0.0,6485.0,0.0,0.00011697324458927924,0.04725719081406882,9988.0,0.0,0.005188237272610747,9.323262378881513,26.0,0.0,,0.0,0.0,0.0,,0.0,91.0,0.0
