dts,NSW_min,NSW_mean,VIC_min,VIC_mean,QLD_min,QLD_mean,SA_min,SA_mean,WA_min,WA_mean,TAS_min,TAS_mean,NT_min,NT_mean,ACT_min,ACT_mean
2002-01-01,0.0,0.0008130162071961412,0.0,0.002453935797747762,0.0,0.010911611826279881,0.0,0.0020548314186907956,0.0,2.8192188261794773e-06,0.0,0.005104950556542062,,,0.0,0.0
2002-01-02,0.0,6.521398390434708e-05,0.0,0.004340112392748109,0.0,0.0023271608513008996,0.0,0.0022121111103856114,0.0,0.00024913818536164084,0.0,0.005599290970254073,,,0.0,5.198128338435045e-06
2002-01-03,0.0,0.00016085575937682247,0.0,0.002391484213421315,0.0,0.00018669321368789416,0.0,0.00028313544546667343,0.0,6.9840273046042e-05,9.155413138017853e-05,0.004958830564632776,,,0.0,0.0009596415638988311
2002-01-04,0.0,9.892212406949246e-07,0.0,0.0001518355070848166,0.0,0.001264207580983037,0.0,2.5781511630239425e-05,0.0,2.7458016692477203e-06,0.0,0.0009406437859181828,,,0.0,0.0
2002-01-05,0.0,8.524216079120417e-06,0.0,4.092252157479038e-05,0.0,0.014864748789415181,0.0,3.952992565373938e-07,0.0,6.887116657454281e-05,0.0,0.0005940555688712774,,,0.0,0.0
2002-01-06,0.0,0.0004867998943011418,0.0,2.12934212688025e-05,0.0,0.0035213137929335746,0.0,8.477992566844544e-05,0.0,0.00010646075092360252,0.0,8.269000401396815e-05,,,0.0,0.00014202628073078978
2002-01-07,0.0,0.006338933974257732,0.0,0.0007141057463400181,0.0,0.007030655620115313,0.0,0.0015299304773314993,0.0,4.9027977399027485e-06,0.0025940337224383916,0.013916135896698345,,,0.0023956664377813384,0.006971528509637916
2002-01-08,0.0,0.0023164484353646823,0.0,0.0008923940696783625,0.0,0.0017912958004291523,0.0,0.00011267911188727806,0.0,2.9073194144975857e-07,0.0,0.008339662311902526,,,0.0,0.0
2002-01-09,0.0,3.301952279285127e-05,0.0,0.00017295920057226277,0.0,0.0019215064610654752,0.0,4.625942490193549e-06,0.0,1.9175093047436352e-05,0.0,0.0008128212278356533,,,0.0,0.0
2002-01-10,0.0,1.678122871966232e-05,0.0,1.5288683062370348e-05,0.0,0.0005878349235297282,0.0,0.0,0.0,0.0005375809798582673,0.0,7.750042991854754e-05,,,0.0,0.0
2002-01-11,0.0,1.9400675194663394e-06,0.0,9.88705522464131e-09,0.0,0.00047331225327715753,0.0,2.1364983627140094e-06,0.0,6.0695431978622334e-05,0.0,3.063522772457976e-05,,,0.0,0.0
2002-01-12,0.0,4.959039986937733e-05,0.0,1.1496997383720401e-05,0.0,0.0003177703225778337,0.0,0.0,0.0,4.547458700353042e-06,0.0,0.005114241568229025,,,0.0,0.0
2002-01-13,0.0,3.117610332563674e-05,0.0,0.00024548898985769394,0.0,0.0011787151828663723,0.0,3.8706385535953145e-06,0.0,1.0762955206195612e-06,0.0,0.0006673875989518902,,,0.0,0.0
2002-01-14,0.0,6.547834475315347e-05,0.0,0.00013699833287770486,0.0,0.0022528675947570105,0.0,1.6306094332167497e-05,0.0,0.0001400270750728019,0.0,0.0002326352142484277,,,0.0,0.0
2002-01-15,0.0,8.050782752575188e-05,0.0,4.232153988907712e-05,0.0,0.00016298759801036244,0.0,2.5012089863050573e-06,0.0,0.0034668624026804188,0.0,0.0013697880824862713,,,0.0,2.967963599687106e-05
2002-01-16,0.0,0.0032821792248303176,0.0,0.00036733541060363605,0.0,0.001390812863621011,0.0,9.649772505866105e-05,0.0,2.059644920563517e-05,0.0,0.002044491306856545,,,0.005493247882810712,0.014663081634928741
2002-01-17,0.0,0.0008819042383809426,0.0,4.890796651122568e-06,0.0,0.004623904091906566,0.0,2.7117999592818235e-05,0.0,0.0014954693097782904,0.0,0.0003072060458873023,,,9.155413138017853e-05,0.0005590503187207239
2002-01-18,0.0,1.3928689883348075e-05,0.0,2.5656908307944197e-06,0.0,0.004290246615004561,0.0,0.0,0.0,0.0007040984334951858,0.0,0.0,,,0.0,0.0
2002-01-19,0.0,2.4065365010698937e-05,0.0,1.1864466269569572e-07,0.0,0.0005834328897697041,0.0,0.0,0.0,8.762778182746817e-05,0.0,1.15509875027104e-06,,,0.0,0.0
2002-01-20,0.0,0.0012548946553285992,0.0,9.231213894740104e-06,0.0,0.00020251057552012343,0.0,8.335873072232291e-05,0.0,8.33093846567422e-05,0.0,5.892677682542118e-05,,,0.0,0.00017237664296487827
2002-01-21,0.0,0.0006002583118177713,0.0,0.000692570092218212,0.0,0.0003440854965516211,0.0,0.0046198318225195755,0.0,3.396277679663089e-06,0.0,0.0010342570063749314,,,0.0,0.0
2002-01-22,0.0,0.0040479679349051485,0.0,0.008188874393367369,0.0,0.00019412356069582366,0.0,0.005198801702069186,0.0,1.2240108403662564e-05,0.0,0.001566146499751549,,,0.003295948729686427,0.012795779790515426
2002-01-23,0.0,0.0012196742574046905,0.0,0.003536606245224346,0.0,0.001387844129329641,0.0,2.5452095583124934e-05,0.0,3.3375439541176836e-06,0.0,0.0011014954720338246,,,0.0,0.0027352215953726595
2002-01-24,0.0,0.002500621958642138,0.0,0.00011189509966234057,0.0,0.0033262795253307083,0.0,1.8353179767807572e-07,0.0,0.0001349377977542925,0.0,0.00022656676066910516,,,0.0,0.00013498365524000682
2002-01-25,0.0,0.0022285235804760475,0.0,4.350304298842176e-05,0.0,0.0028150597353938525,0.0,3.3882793417490896e-07,0.0,2.976625210641165e-05,0.0,0.00011132473462757128,,,0.0,5.3658098977394015e-06
